event_id,timestamp,zone,time_of_day,noise_level_db,ambient_limit_db,excess_db,noise_exceeded,is_construction_site,construction_confidence,violations,is_compliant,severity,audio_motorvehicle-horn,video_car,audio_motorvehicle-siren,audio_generator,video_person,video_truck,video_backpack,video_bus,video_motorcycle,audio_crowd-noise,video_bicycle,video_umbrella,audio_construction-site,video_train,audio_mobile-music,video_fire hydrant,video_airplane,video_suitcase,video_horse,video_bench,video_traffic light
test_clip_1_chunk_0081,2025-11-02T00:44:02.343838,residential,night,68.4,45.0,23.4,True,False,0.4,ambient_exceeded,False,severe,,0.6896,,,0.7691,,,0.7177,0.7342,0.398,0.6731,,,,,,,,,,
test_clip_1_chunk_0081,2025-11-02T00:44:02.343838,residential,night,68.4,45.0,23.4,True,False,0.4,ambient_exceeded,False,severe,,0.6896,,,0.7691,,,0.7177,0.7342,0.398,0.6731,,,,,,,,,,
test_clip_1_chunk_0082,2025-11-02T00:44:12.343838,residential,night,62.4,45.0,17.4,True,False,0.4444,ambient_exceeded,False,severe,0.4835,0.8345,,,0.7859,0.5046,,,0.5833,,,,,,,,,,,,
test_clip_1_chunk_0082,2025-11-02T00:44:12.343838,residential,night,62.4,45.0,17.4,True,False,0.4444,ambient_exceeded,False,severe,0.4835,0.8345,,,0.7859,0.5046,,,0.5833,,,,,,,,,,,,
test_clip_1_chunk_0083,2025-11-02T00:44:22.343838,residential,night,63.36,45.0,18.36,True,False,0.0,ambient_exceeded,False,severe,,0.8801,,,0.7967,,0.4505,,0.6252,0.5025,0.5877,,,,,,,,,,
test_clip_1_chunk_0083,2025-11-02T00:44:22.343838,residential,night,63.36,45.0,18.36,True,False,0.0,ambient_exceeded,False,severe,,0.8801,,,0.7967,,0.4505,,0.6252,0.5025,0.5877,,,,,,,,,,
test_clip_1_chunk_0084,2025-11-02T00:45:32.343838,residential,night,65.17,45.0,20.17,True,False,0.3333,ambient_exceeded,False,severe,,0.8535,,,0.8186,0.4554,,,0.5401,0.4695,,,,,,,,,,,
test_clip_1_chunk_0084,2025-11-02T00:45:32.343838,residential,night,65.17,45.0,20.17,True,False,0.3333,ambient_exceeded,False,severe,,0.8535,,,0.8186,0.4554,,,0.5401,0.4695,,,,,,,,,,,
test_clip_1_chunk_0085,2025-11-02T00:45:42.343838,residential,night,59.79,45.0,14.79,True,False,0.375,ambient_exceeded,False,moderate,,0.8675,,,0.8045,,,,0.731,0.6966,0.6096,,,,,,,,,,
test_clip_1_chunk_0085,2025-11-02T00:45:42.343838,residential,night,59.79,45.0,14.79,True,False,0.375,ambient_exceeded,False,moderate,,0.8675,,,0.8045,,,,0.731,0.6966,0.6096,,,,,,,,,,
