event_id,timestamp,zone,time_of_day,noise_level_db,ambient_limit_db,excess_db,noise_exceeded,is_construction_site,construction_confidence,violations,is_compliant,severity,fusion_audio_class,fusion_audio_confidence,fusion_visual_class,fusion_visual_confidence,fusion_score,fusion_alpha,fusion_mode,audio_motorvehicle-horn,video_car,video_person,video_truck,video_motorcycle,video_bus,video_bicycle,video_umbrella,video_skateboard,video_airplane,audio_generator,video_train
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0020,2026-06-04T12:03:20,residential,day,62.82,55.0,7.82,True,False,0.0,ambient_exceeded,False,minor,motorvehicle-horn,0.9616,car,0.8257,0.9073,0.6,audio_visual_late_fusion,0.9073,0.8257,0.7089,0.6393,0.5652,,,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0021,2026-06-04T12:03:30,residential,day,68.48,55.0,13.48,True,False,0.0,ambient_exceeded,False,moderate,motorvehicle-horn,0.9661,bus,0.7204,0.8678,0.6,audio_visual_late_fusion,0.8678,0.7147,0.7515,,0.6952,0.7204,0.7035,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0022,2026-06-04T12:03:40,residential,day,62.55,55.0,7.55,True,False,0.0,ambient_exceeded,False,minor,motorvehicle-horn,0.921,car,0.8149,0.8786,0.6,audio_visual_late_fusion,0.8786,0.8149,0.7895,,0.5932,,,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0023,2026-06-04T12:03:50,residential,day,63.44,55.0,8.44,True,False,0.0,ambient_exceeded,False,minor,motorvehicle-horn,0.9659,car,0.884,0.9331,0.6,audio_visual_late_fusion,0.9331,0.884,0.7777,,0.5148,,0.5512,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0024,2026-06-04T12:04:00,residential,day,65.27,55.0,10.27,True,False,0.0,ambient_exceeded,False,moderate,motorvehicle-horn,0.9672,car,0.8593,0.9241,0.6,audio_visual_late_fusion,0.9241,0.8593,0.7921,0.5465,0.6007,0.4685,,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0025,2026-06-04T12:04:10,residential,day,59.91,55.0,4.91,True,False,0.0,ambient_exceeded,False,minor,motorvehicle-horn,0.9475,car,0.8764,0.9191,0.6,audio_visual_late_fusion,0.9191,0.8764,0.8631,,0.6375,,0.5866,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0026,2026-06-04T12:04:20,residential,day,55.21,55.0,0.21,True,False,0.0,ambient_exceeded,False,minor,motorvehicle-horn,0.9039,car,0.8334,0.8757,0.6,audio_visual_late_fusion,0.8757,0.8334,0.7874,0.4627,0.5929,0.5466,,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0027,2026-06-04T12:04:30,residential,day,54.55,55.0,-0.45,False,False,0.0,no_violation,True,compliant,motorvehicle-horn,0.9163,car,0.8642,0.8954,0.6,audio_visual_late_fusion,0.8954,0.8642,0.7949,0.6728,0.7421,,,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0028,2026-06-04T12:04:40,residential,day,53.62,55.0,-1.38,False,False,0.0,no_violation,True,compliant,motorvehicle-horn,0.8535,car,0.8266,0.8427,0.6,audio_visual_late_fusion,0.8427,0.8266,0.6632,0.5788,0.7134,,,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0029,2026-06-04T12:04:50,residential,day,54.98,55.0,-0.02,False,False,0.0,no_violation,True,compliant,motorvehicle-horn,0.9096,car,0.7181,0.833,0.6,audio_visual_late_fusion,0.833,0.7181,0.6489,0.6284,0.5298,,,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0030,2026-06-04T12:05:00,residential,day,69.66,55.0,14.66,True,False,0.0,ambient_exceeded,False,moderate,motorvehicle-horn,0.5055,truck,0.6476,0.5623,0.6,audio_visual_late_fusion,0.5623,0.5559,0.821,0.6476,,,,0.5302,0.5409,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0031,2026-06-04T12:05:10,residential,day,58.47,55.0,3.47,True,False,0.0,ambient_exceeded,False,minor,motorvehicle-horn,0.8535,car,0.7542,0.8138,0.6,audio_visual_late_fusion,0.8138,0.7542,0.7967,0.4151,0.5131,0.4544,,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0032,2026-06-04T12:05:20,residential,day,62.12,55.0,7.12,True,False,0.0,ambient_exceeded,False,minor,motorvehicle-horn,0.9708,car,0.8296,0.9143,0.6,audio_visual_late_fusion,0.9143,0.8296,0.7349,0.4899,0.5776,,,,,0.3835,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0033,2026-06-04T12:05:30,residential,day,60.15,55.0,5.15,True,False,0.0,ambient_exceeded,False,minor,motorvehicle-horn,0.9584,car,0.6838,0.8485,0.6,audio_visual_late_fusion,0.8485,0.6838,0.6032,0.6387,0.4058,,0.6222,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0034,2026-06-04T12:05:40,residential,day,61.0,55.0,6.0,True,False,0.0,ambient_exceeded,False,minor,motorvehicle-horn,0.9074,bus,0.7554,0.8466,0.6,audio_visual_late_fusion,0.8466,0.7553,0.4858,0.6205,0.6659,0.7554,,,,,,
YTDown_YouTube_Traffic-Sound-Indian-Traffic-Sound-Traff_Media_9wbA9FVtWF4_001_480p_chunk_0035,2026-06-04T12:05:50,residential,day,62.06,55.0,7.06,True,False,0.0,ambient_exceeded,False,minor,motorvehicle-horn,0.9842,truck,0.8512,0.931,0.6,audio_visual_late_fusion,0.931,0.7208,0.6989,0.8512,0.7034,0.6978,,,,,,
