event_id,timestamp,zone,time_of_day,noise_level_db,ambient_limit_db,excess_db,noise_exceeded,top_audio_class,top_audio_confidence,top_video_class,top_video_confidence,is_construction_site,construction_confidence,violations,is_compliant,severity,num_violations
test_clip_1_chunk_0118,2025-11-02T01:51:29.916515,residential,night,69.49,45.0,24.49,True,construction-site,0.6579,truck,0.5444,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0119,2025-11-02T01:51:39.916515,residential,night,69.37,45.0,24.37,True,construction-site,0.6621,truck,0.7559,True,0.9,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0120,2025-11-02T01:52:49.916515,residential,night,66.62,45.0,21.62,True,generator,0.5247,truck,0.4453,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0121,2025-11-02T01:52:59.916515,residential,night,69.4,45.0,24.4,True,generator,0.5409,truck,0.4926,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0122,2025-11-02T01:52:09.916515,residential,night,67.02,45.0,22.02,True,generator,0.6977,motorcycle,0.5264,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0123,2025-11-02T01:52:19.916515,residential,night,67.76,45.0,22.76,True,generator,0.6989,truck,0.5482,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0124,2025-11-02T01:52:29.916515,residential,night,70.79,45.0,25.79,True,construction-site,0.4921,truck,0.7367,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0125,2025-11-02T01:52:39.916515,residential,night,68.9,45.0,23.9,True,generator,0.6751,truck,0.5494,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0126,2025-11-02T01:53:49.916515,residential,night,69.77,45.0,24.77,True,generator,0.4767,none,0.0,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0127,2025-11-02T01:53:59.916515,residential,night,68.97,45.0,23.97,True,generator,0.7548,truck,0.5911,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0128,2025-11-02T01:53:09.916515,residential,night,70.92,45.0,25.92,True,generator,0.6908,truck,0.7176,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0129,2025-11-02T01:53:19.916515,residential,night,67.37,45.0,22.37,True,generator,0.675,truck,0.6048,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0130,2025-11-02T01:53:29.916515,residential,night,70.06,45.0,25.06,True,construction-site,0.3772,truck,0.5914,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0131,2025-11-02T01:53:39.916515,residential,night,68.98,45.0,23.98,True,generator,0.7261,truck,0.8637,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0132,2025-11-02T01:54:49.916515,residential,night,69.27,45.0,24.27,True,generator,0.5516,airplane,0.5349,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0133,2025-11-02T01:54:59.916515,residential,night,69.31,45.0,24.31,True,generator,0.4966,truck,0.8118,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0134,2025-11-02T01:54:09.916515,residential,night,67.3,45.0,22.3,True,generator,0.5375,truck,0.7176,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0135,2025-11-02T01:54:19.916515,residential,night,69.36,45.0,24.36,True,generator,0.7136,truck,0.5918,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0136,2025-11-02T01:54:29.916515,residential,night,69.93,45.0,24.93,True,generator,0.8235,truck,0.7584,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0137,2025-11-02T01:54:39.916515,residential,night,68.49,45.0,23.49,True,generator,0.797,truck,0.5719,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0138,2025-11-02T01:55:49.916515,residential,night,70.01,45.0,25.01,True,construction-site,0.4749,truck,0.7088,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0139,2025-11-02T01:55:59.916515,residential,night,70.35,45.0,25.35,True,generator,0.6401,truck,0.4674,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0140,2025-11-02T01:55:09.916515,residential,night,70.38,45.0,25.38,True,generator,0.4625,truck,0.6726,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0141,2025-11-02T01:55:19.916515,residential,night,71.01,45.0,26.01,True,construction-site,0.5624,truck,0.5125,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0142,2025-11-02T01:55:29.916515,residential,night,68.99,45.0,23.99,True,construction-site,0.5023,truck,0.6573,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0143,2025-11-02T01:55:39.916515,residential,night,68.16,45.0,23.16,True,generator,0.4066,none,0.0,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0144,2025-11-02T01:56:49.916515,residential,night,67.34,45.0,22.34,True,generator,0.6835,truck,0.464,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
test_clip_1_chunk_0145,2025-11-02T01:56:59.916515,residential,night,69.73,45.0,24.73,True,generator,0.4728,truck,0.7325,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,3
